#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-04-13;Rép. Dém. du Congo;234;20;16;8.55;6.84;84.62
2020-04-13;République Centrafricaine;8;0;0;0.00;0.00;100.00
2020-04-13;Congo (Brazzaville);60;5;5;8.33;8.33;83.33
2020-04-13;Suisse;25415;1106;12700;4.35;49.97;45.68
2020-04-13;Côte d'Ivoire;574;5;85;0.87;14.81;84.32
2020-04-13;Chili;7213;80;2059;1.11;28.55;70.35
2020-04-13;Cameroun;820;12;98;1.46;11.95;86.59
2020-04-13;Chine;82086;3339;77583;4.07;94.51;1.42
2020-04-13;Colombie;2776;109;270;3.93;9.73;86.35
2020-04-13;Costa Rica;595;3;56;0.50;9.41;90.08
2020-04-13;Cuba;669;18;92;2.69;13.75;83.56
2020-04-13;Cap-vert;8;1;1;12.50;12.50;75.00
2020-04-13;Chypre;633;11;65;1.74;10.27;87.99
2020-04-13;République Tchèque;5991;139;467;2.32;7.80;89.88
2020-04-13;Allemagne;127854;3022;64300;2.36;50.29;47.34
2020-04-13;Djibouti;214;2;36;0.93;16.82;82.24
2020-04-13;Danemark;6185;273;2134;4.41;34.50;61.08
2020-04-13;Dominique;16;0;8;0.00;50.00;50.00
2020-04-13;République Dominicaine;2967;173;131;5.83;4.42;89.75
2020-04-13;Algérie;1914;293;591;15.31;30.88;53.81
2020-04-13;Équateur;7466;333;501;4.46;6.71;88.83
2020-04-13;Estonie;1332;27;102;2.03;7.66;90.32
2020-04-13;Égypte;2065;159;589;7.70;28.52;63.78
2020-04-13;Sahara Occidental;6;0;0;0.00;0.00;100.00
2020-04-13;Érythrée;34;0;0;0.00;0.00;100.00
2020-04-13;Espagne;166831;17209;62391;10.32;37.40;52.29
2020-04-13;Éthiopie;71;3;10;4.23;14.08;81.69
2020-04-13;Finlande;2974;56;300;1.88;10.09;88.03
2020-04-13;Fidji;16;0;0;0.00;0.00;100.00
2020-04-13;Îles Féroé;184;0;157;0.00;85.33;14.67
2020-04-13;France;132592;14393;27186;10.86;20.50;68.64
2020-04-13;Gabon;57;1;1;1.75;1.75;96.49
2020-04-13;Royaume-Uni;85079;10629;200;12.49;0.24;87.27
2020-04-13;Grenade;14;0;0;0.00;0.00;100.00
2020-04-13;Géorgie;266;3;67;1.13;25.19;73.68
2020-04-13;Guyane Française;86;0;51;0.00;59.30;40.70
2020-04-13;Ghana;566;8;4;1.41;0.71;97.88
2020-04-13;Gibraltar;129;0;84;0.00;65.12;34.88
2020-04-13;Gambie;9;1;2;11.11;22.22;66.67
2020-04-13;Guinée;250;0;17;0.00;6.80;93.20
2020-04-13;Guadeloupe;143;8;67;5.59;46.85;47.55
2020-04-13;Guinée Équatoriale;21;0;3;0.00;14.29;85.71
2020-04-13;Grèce;2114;98;269;4.64;12.72;82.64
2020-04-13;Guatemala;155;5;19;3.23;12.26;84.52
2020-04-13;Guinée-Bissau;38;0;0;0.00;0.00;100.00
2020-04-13;Guyana;45;6;8;13.33;17.78;68.89
2020-04-13;Hong-Kong;1004;4;360;0.40;35.86;63.75
2020-04-13;Honduras;397;25;7;6.30;1.76;91.94
2020-04-13;Croatie;1600;23;373;1.44;23.31;75.25
2020-04-13;Haïti;33;3;0;9.09;0.00;90.91
2020-04-13;Hongrie;1458;109;120;7.48;8.23;84.29
2020-04-13;Indonésie;4241;373;359;8.80;8.46;82.74
2020-04-13;Irlande;9655;334;25;3.46;0.26;96.28
2020-04-13;Israël;11235;110;1689;0.98;15.03;83.99
2020-04-13;Inde;9240;331;1096;3.58;11.86;84.56
2020-04-13;Iraq;1352;76;640;5.62;47.34;47.04
2020-04-13;Iran;71686;4474;43894;6.24;61.23;32.53
2020-04-13;Islande;1701;8;889;0.47;52.26;47.27
2020-04-13;Italie;156363;19899;34211;12.73;21.88;65.39
2020-04-13;Jamaïque;72;4;16;5.56;22.22;72.22
2020-04-13;Jordanie;389;7;201;1.80;51.67;46.53
2020-04-13;Japon;7370;123;784;1.67;10.64;87.69
2020-04-13;Kenya;197;8;25;4.06;12.69;83.25
2020-04-13;Kirghizistan;419;5;67;1.19;15.99;82.82
2020-04-13;Cambodge;122;0;77;0.00;63.11;36.89
2020-04-13;Saint-Kitts-et-Nevis;12;0;0;0.00;0.00;100.00
2020-04-13;Corée du Sud;10537;217;7447;2.06;70.67;27.27
2020-04-13;Koweït;1234;1;142;0.08;11.51;88.41
2020-04-13;Kazakhstan;973;11;110;1.13;11.31;87.56
2020-04-13;Laos;19;0;0;0.00;0.00;100.00
2020-04-13;Liban;630;20;80;3.17;12.70;84.13
2020-04-13;Sainte-Lucie;15;0;4;0.00;26.67;73.33
2020-04-13;Liechtenstein;79;1;55;1.27;69.62;29.11
2020-04-13;Sri Lanka;210;7;56;3.33;26.67;70.00
2020-04-13;Libéria;50;5;3;10.00;6.00;84.00
2020-04-13;Lituanie;1062;24;101;2.26;9.51;88.23
2020-04-13;Luxembourg;3281;66;500;2.01;15.24;82.75
2020-04-13;Lettonie;653;5;16;0.77;2.45;96.78
2020-04-13;Libye;25;1;9;4.00;36.00;60.00
2020-04-13;Maroc;1661;118;177;7.10;10.66;82.24
